;mmsi;lon;lat;date_time_utc;sog;cog;true_heading;nav_status;message_nr;source
26;1;0.4086421240517684;69.58966050866007;2021-01-01 00:01:05+00:00;19.940801442009;256;256;0;18;
27;2;0.4034071518927189;69.58615090152935;2021-01-01 00:01:05+00:00;8.290534199081495;230;230;0;18;
28;1;0.4081336412784342;69.58961602031336;2021-01-01 00:01:10+00:00;19.940801442009;276;276;0;18;
29;2;0.40324146447477205;69.58601664933104;2021-01-01 00:01:10+00:00;8.290534199081495;230;230;0;18;
30;1;0.407631715295935;69.58971927438589;2021-01-01 00:01:15+00:00;19.940801442009;282;282;0;18;
31;2;0.40307577247039933;69.58588240279325;2021-01-01 00:01:15+00:00;8.290534199081495;230;230;0;18;
32;1;0.4071285412732481;69.58981850773814;2021-01-01 00:01:20+00:00;19.940801442009;279;279;0;18;
33;2;0.40291007686006075;69.5857481607062;2021-01-01 00:01:20+00:00;8.290534199081495;230;230;0;18;
34;1;0.40662184965148845;69.58989811331747;2021-01-01 00:01:25+00:00;19.940801442009;278;278;0;18;
35;2;0.40274437841459776;69.58561392211863;2021-01-01 00:01:25+00:00;8.290534199081495;230;230;0;18;
36;1;0.4061137139330506;69.58996799388574;2021-01-01 00:01:30+00:00;19.940801442009;277;277;0;18;
37;2;0.40257867774005474;69.58547968628258;2021-01-01 00:01:30+00:00;8.290534199081495;230;230;0;18;
38;1;0.40560495744907976;69.59003322228745;2021-01-01 00:01:35+00:00;19.940801442009;277;277;0;18;
39;2;0.4024129753129167;69.58534545260996;2021-01-01 00:01:35+00:00;8.290534199081495;230;230;0;18;
40;1;0.40509592108658954;69.5900962341848;2021-01-01 00:01:40+00:00;19.940801442009;276;276;0;18;
41;2;0.4022472715078105;69.58521122063837;2021-01-01 00:01:40+00:00;8.290534199081495;230;230;0;18;
42;1;0.4045867551085795;69.59015819113125;2021-01-01 00:01:45+00:00;19.940801442009;276;276;0;18;
43;2;0.40208156661928257;69.58507699000423;2021-01-01 00:01:45+00:00;8.290534199081495;230;230;0;18;
44;1;0.40407752827371396;69.59021964614283;2021-01-01 00:01:50+00:00;19.940801442009;276;276;0;18;
45;2;0.4019158608789162;69.58494276042167;2021-01-01 00:01:50+00:00;8.290534199081495;230;230;0;18;
46;1;0.403568272671443;69.59028086236992;2021-01-01 00:01:55+00:00;19.940801442009;276;276;0;18;
47;2;0.4017501544687919;69.58480853166591;2021-01-01 00:01:55+00:00;8.290534199081495;230;230;0;18;
48;1;0.40304565212274546;69.59029928263092;2021-01-01 00:02:00+00:00;20.512310747230828;260;260;0;18;
49;2;0.4015844475320689;69.58467430356028;2021-01-01 00:02:00+00:00;8.290534199081495;230;230;0;18;
