,mmsi,lon,lat,date_time_utc,sog,cog,true_heading,nav_status,message_nr,source
108,Ship1,6960133.078769823,41632.29280953944,27,10.149,222,222,,18,
109,Ship2,6959748.5375352455,41086.333170256556,27,6.426,131,131,,2,
110,Ship3,6959183.228832465,41067.36368201211,27,9.843,275,275,,3,
111,Ship4,6960124.474833121,42127.91435590213,27,7.497,39,39,,1,
112,Ship1,6960125.655717193,41625.37179150314,28,10.149,222,222,,18,
113,Ship2,6959744.268230425,41091.13593116593,28,6.426,131,131,,2,
114,Ship3,6959184.139788296,41057.56292650688,28,9.843,275,275,,3,
115,Ship4,6960130.294241058,42132.64082395593,28,7.497,39,39,,1,
116,Ship1,6960118.232719763,41618.45071426375,29,10.149,222,222,,18,
117,Ship2,6959739.991581338,41095.93215349074,29,6.426,131,131,,2,
118,Ship3,6959185.045520605,41047.76168689212,29,9.843,275,275,,3,
119,Ship4,6960136.114163363,42137.3666586288,29,7.497,39,39,,1,
120,Ship1,6960110.809771931,41611.529583830175,30,10.149,222,222,,18,
121,Ship2,6959735.708068167,41100.7222464869,30,6.426,131,131,,2,
122,Ship3,6959185.946543276,41037.96001320113,30,9.843,275,275,,3,
123,Ship4,6960141.934561415,42142.09190735516,30,7.497,39,39,,1,
124,Ship1,6960103.386868663,41604.60840560138,31,10.149,222,222,,18,
125,Ship2,6959731.418139274,41105.50659451902,31,6.426,131,131,,2,
126,Ship3,6959186.843319671,41028.15795009699,31,9.843,275,275,,3,
127,Ship4,6960147.755399493,42146.81661402054,31,7.497,39,39,,1,
128,Ship1,6960095.964005437,41597.68718442837,32,10.149,222,222,,18,
129,Ship2,6959727.122213355,41110.285558476055,32,6.426,132,132,,2,
130,Ship3,6959187.7362675825,41018.355537484356,32,9.843,275,275,,3,
131,Ship4,6960153.576644563,42151.54081922658,32,7.497,39,39,,1,
132,Ship1,6960088.541178189,41590.765924669715,33,10.149,222,222,,18,
133,Ship2,6959722.820681444,41115.059477120456,33,6.426,132,132,,2,
134,Ship3,6959188.625763713,41008.55281104558,33,9.843,275,275,,3,
135,Ship4,6960159.398266076,42156.26456053632,33,7.497,39,39,,1,
136,Ship1,6960081.118383268,41583.84463024167,34,10.149,222,222,,18,
137,Ship2,6959718.513908776,41119.8286683716,34,6.426,132,132,,2,
138,Ship3,6959189.512147715,40998.74980271133,34,9.843,275,275,,3,
139,Ship4,6960165.220235776,42160.98787270123,34,7.497,39,39,,1,
140,Ship1,6960073.695617393,41576.92330466293,35,10.149,222,222,,18,
141,Ship2,6959714.202236523,41124.593430525085,35,6.426,132,132,,2,
142,Ship3,6959190.3957258295,40988.94654107469,35,9.843,275,275,,3,
143,Ship4,6960171.042527532,42165.71078787135,35,7.497,39,39,,1,
144,Ship1,6960066.272877616,41570.00195109507,36,10.149,222,222,,18,
145,Ship2,6959709.885983407,41129.35404340946,36,6.426,132,132,,2,
146,Ship3,6959191.276774171,40979.143051756044,36,9.843,275,275,,3,
147,Ship4,6960176.8651171755,42170.43333578974,36,7.497,39,39,,1,
148,Ship1,6960058.850161289,41563.0805723788,37,10.149,222,222,,18,
149,Ship2,6959705.565447205,41134.11076948232,37,6.426,132,132,,2,
150,Ship3,6959192.155541689,40969.339357725265,37,9.843,275,275,,3,
151,Ship4,6960182.687982353,42175.15554397248,37,7.497,39,39,,1,
152,Ship1,6960051.427466032,41556.159171066494,38,10.149,222,222,,18,
153,Ship2,6959701.240906152,41138.86385486783,38,6.426,132,132,,2,
154,Ship3,6959193.032252842,40959.53547958672,38,9.843,275,275,,3,
155,Ship4,6960188.5111023905,42179.87743787521,38,7.497,39,39,,1,
156,Ship1,6960044.004789707,41549.237749451495,39,10.149,222,222,,18,
157,Ship2,6959696.912620241,41143.61353033779,39,6.426,132,132,,2,
158,Ship3,6959193.90711,40949.73143583162,39,9.843,275,275,,3,
159,Ship4,6960194.334458166,42184.59904104719,39,7.497,39,39,,1,
160,Ship1,6960036.582130392,41542.31630959438,40,10.149,222,222,,18,
161,Ship2,6959692.580832439,41148.3600122387,40,6.426,132,132,,2,
162,Ship3,6959194.780295625,40939.92724306199,40,9.843,275,275,,3,
163,Ship4,6960200.158031993,42189.32037527402,40,7.497,39,39,,1,
164,Ship1,6960029.159486361,41535.39485334655,41,10.149,222,222,,18,
165,Ship2,6959688.245769819,41153.1035033669,41,6.426,132,132,,2,
166,Ship3,6959195.651974223,40930.12291618948,41,9.843,275,275,,3,
167,Ship4,6960205.981807513,42194.04146070952,41,7.497,39,39,,1,
